absolute_path	logical_bytes	allocated_bytes	owner	registered_worktree	status	effective_rounds	protocol_stages	raw_evidence	tracked_evidence_fingerprint	repo_ref_files	canonical_or_superseding	decision	rationale
/home/clawd/research/scion-experiments/v04-phase5-warehouse-controlpair-full-vs-nomeas-4x2-8r-20260613T011820Z-claw	676394977	756531200	clawd:clawd	no	finished_multi_cell	64	frozen=2,screening=57,validation=3	metrics=548,manifests=368,statuses=16	7a49bfbc872cc17f4af930314916fd6476a492e02d0b426bc68a38d1dd190ec5	2	self	retain_source_anchor	Source campaign for fixed replay candidates; unique formal evidence.
/home/clawd/research/scion-experiments/v04-phase5-warehouse-promoted-patch-fixed-replay-20260613T074212Z-claw	222805333	250109952	clawd:clawd	no	error_only	0	frozen=0,screening=0,validation=0	metrics=0,comparison_rows=20_error,FileNotFoundError=20	ceb9a33b0c00fc3a9058d844917545ddf1c934a31d5c4bc108e25fcbb4df8cde	0	v04-phase5-warehouse-controlpair-full-vs-nomeas-4x2-8r-20260613T011820Z-claw;v04-phase5-warehouse-promoted-patch-fixed-replay-20260613T074315Z-claw;v04-phase5-warehouse-promoted-only-fixed-replay-20260613T075754Z-claw;v04-phase5-warehouse-reconstructed-rep04-fixed-replay-20260613T081722Z-claw	delete	Both replay arms failed before protocol because protocol_prod.yaml resolved to a duplicated scion/scion path; manifests normalize identically to 074315 and materialized candidates are reproducible from retained artifacts.
/home/clawd/research/scion-experiments/v04-phase5-warehouse-promoted-patch-fixed-replay-20260613T074315Z-claw	79059701	89317376	clawd:clawd	no	aborted_not_evidence	unknown	replay_partial	metrics=105,manifests=2	36512ae424a1f04908422917ee9309a6bb74682fba063e8a3f621cababc74224	1	v04-phase5-warehouse-promoted-only-fixed-replay-20260613T075754Z-claw	retain_gray	Report explicitly excludes this root as evidence, but it contains unique raw replay outputs, so it is not safe under the no-unique-evidence rule.
/home/clawd/research/scion-experiments/v04-phase5-warehouse-promoted-only-fixed-replay-20260613T075754Z-claw	45251163	51200000	clawd:clawd	no	completed_replay	unknown	fixed_candidate_replay	metrics=68,comparisons=2,manifests=2	f5b34fc49652379ebc076c1624946b31d928f0b01f3db1a053e53f6b2bea4593	1	self	retain_canonical	Promoted-only valid replay evidence.
/home/clawd/research/scion-experiments/v04-phase5-warehouse-reconstructed-rep04-fixed-replay-20260613T081722Z-claw	78800808	88997888	clawd:clawd	no	completed_replay	unknown	fixed_candidate_replay	metrics=84,comparisons=4,manifests=1	9c3bfccc28d8864ce1ade3ac6acbd8433b0866f07a3551ddfc5495e150536755	1	self	retain_canonical	Corrected reconstructed rep04 replay evidence.
/home/clawd/research/scion-experiments/v04-warehouse-quality-skeleton-rerun6r-9853dd4-20260617T115932Z	23446	53248	clawd:clawd	no	aborted_wrapper_no_campaign	0	frozen=0,screening=0,validation=0	metrics=0,campaigns=0,logs_nonempty=0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1	v04-warehouse-quality-skeleton-rerun6r-9853dd4-20260617T120052Z	delete	Background wrapper did not survive launch; status document records the abort and the retained 120052 root is the actual rerun.
/home/clawd/research/scion-experiments/v04-warehouse-quality-skeleton-rerun6r-9853dd4-20260617T120052Z	31342347	34811904	clawd:clawd	no	valid_partial_interrupted	1	frozen=0,screening=1,validation=0	metrics=30,manifests=31,statuses=2	a51756d992ddf91818b9ae82e2eb65e925b7870abfd570d6bb67c546413fdceb	2	self	retain_canonical	Actual quality-skeleton rerun; stopped on API balance exhaustion with one effective screening round.
/home/clawd/research/scion-experiments/v04-branch-transfer-fresh-replay-verify-12r-gpt55-12r-gpt55-20260608T091858Z-claw	6669307	8486912	clawd:clawd	no	signal_SIGTERM	0	frozen=0,screening=0,validation=0	metrics=4,llm_traces=9,agentic_sessions_present=1	6396984fc1055e939d8262d1b044253a2db1ae6ee63eb96f06e0e900c75345a1	0	v04-branch-transfer-fresh-replay-verify-rerun-12r-gpt55-12r-gpt55-20260608T092404Z-claw	retain_gray	Config has an exact completed rerun, but this root has unique hypothesis/code/tool traces; zero effective rounds alone is insufficient for deletion.
/home/clawd/research/scion-experiments/v04-branch-transfer-fresh-replay-verify-rerun-12r-gpt55-12r-gpt55-20260608T092404Z-claw	44698395	49561600	clawd:clawd	no	finished_valid	12	frozen=0,screening=12,validation=0	metrics=68,manifests=106,statuses=3	8d5762b2da01391cdf9cb1033dd69926f2681e88782ef9bbad8001bdb02d96c4	0	self	retain_canonical	Exact configuration rerun completed all 12 effective screening rounds.
/home/clawd/research/scion-experiments/v04-cvrp-direct-longitudinal-r11c-8r-gpt56sol-8r-gpt56sol-20260716T132422Z-claw	283660592	285302784	clawd:clawd	no	running_snapshot	3	frozen=0,screening=3,validation=0	metrics=99,llm_and_agentic_traces=present,statuses=3	b74aeb484a1c36b6aeedf83810ce47c63bec1a39addd35966a1b9d32079162d3	3	self	protect_live	Live R11c snapshot; excluded from every cleanup selector.
