absolute_path	allocated_bytes	classification	retained_owner	validation_conclusion
/home/clawd/research/scion-experiments/v04-active-solver-design-boundary-sonnet-4r-20260511T180327Z	28672	pre_campaign_wrong_cwd	v04-active-solver-design-boundary-sonnet-4r-20260511T180413Z	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-v3-post-p1-sonnet-4r-20260522T004332Z	32768	pre_campaign_wrong_cwd	v04-v3-post-p1-sonnet-4r-20260522T004408Z	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-short-agentic-sonnet-20260506T083308Z	28672	pre_campaign_problem_path	v04-short-agentic-sonnet-20260506T083427Z	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-constructionpivot-guidance-local-agentic-1r-gpt55-20260618T074856Z-claw	36864	missing_api_key	v04-cvrp-constructionpivot-guidance-local-agentic-1r-867f5de-20260618T073729Z	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-constructionpivot-guidance-local-agentic-rerun-1r-gpt55-20260618T074938Z-claw	36864	missing_api_key	v04-cvrp-constructionpivot-guidance-f462133-local-agentic-1r-gpt55-20260618T075218Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-phase1-aa-cvrp-screening-modify-r3-tl30-20260611T164426Z-claw	28672	pre_calibration_path_failure	v04-phase1-aa-cvrp-screening-modify-r3-tl30-saferoot-20260611T164539Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-v3-helper-source-c8fix-gpt55-12r-20260530T071547Z-claw	106496	corrupt_launcher	v04-v3-helper-source-c8fix-gpt55-12r-20260530T071616Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-runtime-audit-short-20260504T073411Z	827392	exact_subset	v04-runtime-audit-short-20260504T073502Z	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-successor26-short-horizon-seed-trajectory-selector-server-2r-gpt55-20260630T132337Z-claw	1261568	runtime_dirty_preflight	v04-cvrp-successor26-short-horizon-seed-trajectory-selector-server-2r-gpt55-20260630T132452Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-successor41-route-skeleton-regret-repair-server-2r-gpt55-20260706T053536Z-claw	1798144	missing_runtime_dependency	v04-cvrp-successor41-route-skeleton-regret-repair-server-claw-2r-gpt55-20260706T053608Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-successor49-repaired-context-open-cleanfork-server-claw-2r-gpt55-2r-gpt55-20260708T093854Z-claw	2236416	runtime_dirty_preflight	v04-cvrp-successor49-repaired-context-open-cleanfork-server-claw-2r-gpt55-2r-gpt55-20260708T094104Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
/home/clawd/research/scion-experiments/v04-cvrp-successor49-repaired-context-open-cleanfork-server-claw-2r-gpt55-2r-gpt55-20260708T094029Z-claw	2244608	missing_runtime_dependency	v04-cvrp-successor49-repaired-context-open-cleanfork-server-claw-2r-gpt55-2r-gpt55-20260708T094104Z-claw	PASS:no_unique_scientific_evidence,no_repo_reference,no_git,no_active_owner,retained_owner_exists,size_revalidated
