absolute_path	allocated_bytes	classification	validation_conclusion
/home/clawd/research/scion-experiments/v04-active-facts-control-sonnet-3r-20260520T170238Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-active-split-smoke-fix-sonnet-3r-20260516T091345Z	16384	pre-campaign-shell	PASS:only_pid_empty_log_and_empty_campaign_dirs,no_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-active-split-smoke-fix-sonnet-3r-20260516T091422Z	16384	pre-campaign-shell	PASS:only_pid_empty_log_and_empty_campaign_dirs,no_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-agent-feedback-controls-sonnet-4r-20260519T155348Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-agent-feedback-controls-sonnet-4r-20260519T155435Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-agent-feedback-controls-sonnet-4r-20260519T155557Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-agent-feedback-controls-sonnet-4r-20260519T155702Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-algorithm-blueprint-sonnet-20260507T115040Z	20480	pre-campaign-launch-failure	PASS:shell_quoting_failure_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-algorithm-blueprint-sonnet-20260507T115115Z	12288	pre-campaign-launch-failure	PASS:runner_generation_failure_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-api-manifest-sonnet-3r-20260517T034444Z	12288	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-baseline-policy-sonnet-3r-20260507T153159Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-branch-algorithm-subject-smoke-opus-1r-20260514T163435Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-campaign-feedback-repair-sonnet-5r-20260510T060427Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-code-self-check-smoke-sonnet-2r-20260514T091504Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
